query,llama3.1,llama3,mistral,mistral-nemo,phi3,gemma2,zephyr,qwen2,llava,codellama,codegemma,codeqwen,dolphincoder,sqlcoder,deepseek-coder-v2,stable-code,starcoder2,wizardcoder
What is the total number of seconds for all tracks?,SELECT SUM(T1.milliseconds) FROM track AS T1,SELECT SUM(milliseconds / 1000) AS total_seconds FROM track;,"SELECT SUM(milliseconds) as total_seconds
   FROM track;",SELECT SUM(milliseconds) AS total_seconds FROM track;,SELECT SUM(milliseconds / 1000) AS total_seconds FROM track;,SELECT SUM(milliseconds) FROM track;,SELECT SUM(track.milliseconds) / 1000 AS total_seconds FROM track;,,SELECT SUM(milliseconds) FROM track;,SELECT SUM(milliseconds) AS total_seconds FROM track;,SELECT SUM(milliseconds / 1000) AS total_seconds FROM track;,,,,,,,"SELECT SUM(t.milliseconds) as ""TotalSeconds""
FROM track t;"
How many invoices were created in 2021?,,SELECT COUNT(*) FROM invoice WHERE EXTRACT(YEAR FROM invoice_date) = 2021;,SELECT COUNT(invoice_id) FROM invoice WHERE invoice_date >= '2021-01-01' AND invoice_date <= '2021-12-31';,SELECT COUNT(*) FROM invoice WHERE EXTRACT(YEAR FROM invoice_date) = 2021;,"SELECT COUNT(*) FROM ""invoice"" WHERE EXTRACT(YEAR FROM ""invoice_date"") = 2021;",SELECT COUNT(*) FROM invoice WHERE invoice_date BETWEEN '2021-01-01' AND '2021-12-31';,SELECT COUNT(*) FROM invoice WHERE EXTRACT(YEAR FROM invoice_date) = 2021;,,,"SELECT COUNT(*) AS num_invoices
FROM invoice
WHERE EXTRACT(YEAR FROM invoice_date) = 2021;",,,"SELECT COUNT(*) as ""Number of Invoices Created in 2021"" FROM invoice WHERE DATE_PART('year', invoice_date) = '2021';",,,,,"SELECT COUNT(invoice.invoice_date) as num_of_invoices
FROM invoice
WHERE EXTRACT(YEAR FROM invoice.invoice_date) = 2021;"
What is the number of customers who have made purchases totaling over $40?,,,,"SELECT COUNT(*)
FROM (
    SELECT customer_id
    FROM invoice
    WHERE total > 40
) AS subquery;",,SELECT COUNT(DISTINCT customer_id) FROM invoice WHERE total > 40;,SELECT COUNT(*) FROM track WHERE milliseconds > 30000;,,,"SELECT COUNT(*) as num_customers
FROM customer c
JOIN invoice i ON c.customer_id = i.customer_id
WHERE i.total > 40;","SELECT COUNT(*) FROM customer
JOIN invoice ON customer.customer_id = invoice.customer_id
GROUP BY customer.customer_id
HAVING SUM(invoice.total) > 40;",,,SELECT COUNT(DISTINCT customer_id) FROM invoice WHERE total > 40;,,,,
How many artists have more than 10 albums?,SELECT COUNT(artist.name) FROM artist INNER JOIN album ON artist.artist_id = album.artist_id GROUP BY artist.name HAVING COUNT(album.title) > 10,SELECT COUNT(DISTINCT artist.name) FROM artist JOIN album ON artist.artist_id = album.artist_id GROUP BY artist.name HAVING COUNT(album.album_id) > 10;,,"SELECT COUNT(*) FROM (
    SELECT artist_id
    FROM album
    GROUP BY artist_id
    HAVING COUNT(album_id) > 10
) AS subquery;",SELECT COUNT(DISTINCT artist_id) FROM album GROUP BY artist_id HAVING COUNT(album_id) > 10;,,,,,"SELECT COUNT(*)
FROM artist a
INNER JOIN album al ON a.artist_id = al.artist_id
GROUP BY a.artist_id
HAVING COUNT(al.album_id) > 10;",,,,,,,,"SELECT COUNT(DISTINCT artist_id) FROM album WHERE album_id IN (
    SELECT DISTINCT artist_id FROM album GROUP BY artist_id HAVING COUNT(*) > 10
);"
What is the total number of tracks in playlists that have 'Rock' in their name?,SELECT COUNT(T1.track_id) FROM playlist_track AS T1 INNER JOIN playlist AS T2 ON T1.playlist_id = T2.playlist_id WHERE T2.name LIKE '%Rock%',"SELECT COUNT(playlist_track.playlist_id) AS total_tracks
FROM playlist_track
JOIN playlist ON playlist_track.playlist_id = playlist.playlist_id
WHERE playlist.name LIKE '%Rock%';","SELECT COUNT(t.track_id)
   FROM track t
   JOIN playlist_track pt ON t.track_id = pt.track_id
   JOIN playlist p ON pt.playlist_id = p.playlist_id
   WHERE p.name LIKE '%Rock%';","SELECT COUNT(*) FROM playlist_track WHERE EXISTS (
    SELECT 1 FROM playlist WHERE playlist.playlist_id = playlist_track.playlist_id AND name LIKE '%Rock%'
);",,SELECT COUNT(t.track_id) FROM playlist_track AS pt JOIN track AS t ON pt.track_id = t.track_id JOIN playlist AS p ON pt.playlist_id = p.playlist_id WHERE p.name LIKE '%Rock%',"SELECT artist.name, SUM(invoice_line.quantity) AS total_sales
FROM track
JOIN invoice_line ON track.track_id = invoice_line.track_id
JOIN invoice ON invoice_line.invoice_id = invoice.invoice_id
JOIN customer ON invoice.customer_id = customer.customer_id
JOIN album ON track.album_id = album.album_id
JOIN artist ON album.artist_id = artist.artist_id
GROUP BY artist.artist_id
ORDER BY total_sales DESC
LIMIT 1;",,,,,SELECT COUNT(T2.track_id) FROM playlist AS T1 INNER JOIN playlist_track AS T2 ON T1.playlist_id = T2.playlist_id INNER JOIN track AS T3 ON T2.track_id = T3.track_id INNER JOIN genre AS T4 ON T3.genre_id = T4.genre_id WHERE T4.name LIKE '%Rock%',"SELECT COUNT(*)
FROM playlist_track
WHERE playlist_id IN (
  SELECT playlist_id 
  FROM playlist 
  WHERE name LIKE '%Rock%'
)",,,,,"SELECT COUNT(DISTINCT t.track_id) AS num_tracks_rock 
FROM playlist p, track t, genre g 
WHERE p.name = 'Rock' AND t.genre_id = g.genre_id AND g.name = 'Rock';"
How many customers have made purchases in all years the store has been operating?,SELECT COUNT(DISTINCT customer_id) FROM invoice,,"SELECT COUNT(DISTINCT customer_id) as number_of_customers
   FROM invoice
   WHERE EXTRACT(YEAR FROM invoice_date) IN (SELECT DISTINCT EXTRACT(YEAR FROM hire_date) as years_operated
                                            FROM employee);",SELECT COUNT(DISTINCT customer_id) FROM invoice WHERE customer_id IN (SELECT DISTINCT customer_id FROM invoice);,,SELECT COUNT(DISTINCT customer_id) FROM invoice;,,,,"SELECT COUNT(*) AS num_customers
FROM customer c
JOIN invoice i ON c.customer_id = i.customer_id
WHERE i.invoice_date BETWEEN '2016-01-01' AND CURRENT_DATE;",,SELECT COUNT(DISTINCT i.customer_id) FROM invoice i;,,,,,,
What is the number of customers who have purchased tracks from all genres?,SELECT COUNT(DISTINCT T1.customer_id) FROM invoice AS T1 JOIN invoice_line AS T2 ON T1.invoice_id = T2.invoice_id JOIN track AS T3 ON T2.track_id = T3.track_id,"SELECT COUNT(DISTINCT c.customer_id) 
         FROM customer c 
         JOIN invoice i ON c.customer_id = i.customer_id 
         JOIN invoice_line il ON i.invoice_id = il.invoice_id 
         JOIN track t ON il.track_id = t.track_id 
         WHERE t.genre_id IN (SELECT genre_id FROM genre)","SELECT COUNT(DISTINCT c.customer_id) as num_customers
   FROM customer c
   JOIN invoice i ON c.customer_id = i.customer_id
   JOIN invoice_line il ON i.invoice_id = il.invoice_id
   JOIN track t ON il.track_id = t.track_id
   JOIN genre g ON t.genre_id = g.genre_id
   GROUP BY c.customer_id
   HAVING COUNT(DISTINCT g.genre_id) = (SELECT COUNT(*) FROM genre);","SELECT COUNT(DISTINCT customer.customer_id) AS num_customers
FROM invoice
JOIN customer ON invoice.customer_id = customer.customer_id
WHERE NOT EXISTS (
    SELECT 1
    FROM track t JOIN invoice_line il ON t.track_id = il.track_id
    WHERE il.invoice_id = invoice.invoice_id
    AND NOT EXISTS (
        SELECT 1
        FROM genre g JOIN track gt ON g.genre_id = gt.genre_id
        WHERE gt.track_id = t.track_id
        AND g.name IN ('Genre1', 'Genre2') -- replace with actual genres not purchased by the customer
    )
)",,,,,,,"SELECT COUNT(DISTINCT c.customer_id)
FROM customer c
WHERE EXISTS (
    SELECT 1
    FROM genre g
    WHERE NOT EXISTS (
        SELECT 1
        FROM invoice_line il
        JOIN track t ON il.track_id = t.track_id
        JOIN genre tg ON t.genre_id = tg.genre_id
        WHERE tg.genre_id = g.genre_id
        AND c.customer_id = il.invoice_id
    )
);

--",,"SELECT COUNT(DISTINCT c.customer_id)
FROM customer c
JOIN invoice i ON c.customer_id = i.customer_id
JOIN invoice_line il ON i.invoice_id = il.invoice_id
JOIN track t ON il.track_id = t.track_id
WHERE t.genre_id IN (SELECT genre_id FROM genre)",SELECT COUNT(DISTINCT customer_id) AS total_customers FROM invoice INNER JOIN invoice_line ON invoice.invoice_id = invoice_line.invoice_id INNER JOIN track ON invoice_line.track_id = track.track_id GROUP BY genre_id;,,,,
How many albums have all their tracks in a single genre?,SELECT COUNT(DISTINCT t1.album_id) FROM track AS t1 JOIN genre AS t2 ON t1.genre_id = t2.genre_id GROUP BY t2.name HAVING COUNT(t1.track_id) >= ALL ( SELECT COUNT(t3.track_id) FROM track AS t3 JOIN genre AS t4 ON t3.genre_id = t4.genre_id GROUP BY t4.name ),SELECT COUNT(DISTINCT album.album_id) FROM album JOIN track ON album.album_id = track.album_id GROUP BY track.genre_id HAVING COUNT(DISTINCT track.track_id) = (SELECT COUNT(*) FROM track WHERE track.genre_id = track.genre_id);,SELECT COUNT(*) FROM album JOIN track ON album.album_id = track.album_id GROUP BY album.album_id HAVING COUNT(DISTINCT track.genre_id) = 1;,"SELECT COUNT(*) FROM album WHERE EXISTS (
  SELECT TRUE FROM track WHERE track.album_id = album.album_id GROUP BY track.genre_id HAVING COUNT(*) = 1
);","SELECT COUNT(DISTINCT album.album_id) AS num_of_albums FROM album JOIN track ON album.album_id = track.album_id GROUP BY album.album_id HAVING COUNT(track.genre_id) = (SELECT MIN(num_genres) FROM (SELECT album.album_id, COUNT(DISTINCT genre.name) AS num_genres FROM album JOIN track ON album.album_id = track.album_id JOIN genre ON track.genre_id = genre.genre_id GROUP BY album.album_id HAVING COUNT(track.genre_id) <= 1));",SELECT COUNT(DISTINCT album_id) FROM track GROUP BY album_id HAVING COUNT(DISTINCT genre_id) = 1;,,,,"SELECT COUNT(DISTINCT album_id) AS num_albums
FROM track
WHERE genre_id = (
    SELECT genre_id
    FROM track
    GROUP BY genre_id
    HAVING COUNT(track_id) = (
        SELECT COUNT(*)
        FROM track
        WHERE genre_id = track.genre_id
    )
);",,,"SELECT COUNT(DISTINCT alb.album_id) AS total_albums
FROM album alb
JOIN track trk ON trk.album_id = alb.album_id
WHERE trk.genre_id IN (
    SELECT DISTINCT genre_id 
    FROM track
    GROUP BY 1 
    HAVING COUNT(DISTINCT track_id) = (
        SELECT COUNT(*) 
        FROM track
        WHERE album_id = alb.album_id
    )
);",SELECT COUNT(DISTINCT a.album_id) AS number_of_albums FROM album a JOIN track t ON a.album_id = t.album_id JOIN genre g ON t.genre_id = g.genre_id GROUP BY g.name HAVING COUNT(DISTINCT g.genre_id) = 1;,,,,
What is the number of customers who have spent more in 2011 than in 2010?,,SELECT COUNT(*) FROM customer c JOIN invoice i ON c.customer_id = i.customer_id WHERE i.invoice_date >= '2011-01-01' AND i.invoice_date < '2012-01-01' GROUP BY c.customer_id HAVING SUM(CASE WHEN EXTRACT(YEAR FROM i.invoice_date) = 2010 THEN i.total ELSE 0 END) < SUM(CASE WHEN EXTRACT(YEAR FROM i.invoice_date) = 2011 THEN i.total ELSE 0 END),,,,SELECT COUNT(DISTINCT customer_id)  FROM invoice WHERE invoice_date >= '2011-01-01' AND invoice_date <= '2011-12-31' GROUP BY customer_id HAVING SUM(total) > (SELECT SUM(total) FROM invoice WHERE invoice_date >= '2010-01-01' AND invoice_date <= '2010-12-31' GROUP BY customer_id);,,,,,,,,,,,,
How many tracks appear in more playlists than the average track?,,,,,,,,,,"SELECT t.name, AVG(plt.playlist_id) AS avg_playlists
FROM track t
JOIN playlist_track plt ON t.track_id = plt.track_id
GROUP BY t.name
HAVING COUNT(*) > AVG(plt.playlist_id);",,,,,,,,
What is the number of artists who have tracks in more genres than the average artist?,"SELECT COUNT(DISTINCT T1.name) FROM artist AS T1 JOIN track AS T2 ON T1.artist_id = T2.genre_id GROUP BY T2.genre_id HAVING COUNT(T2.genre_id) > (SELECT AVG(genre_count) FROM (SELECT COUNT(*) AS genre_count, T1.name FROM artist AS T1 JOIN track AS T2 ON T1.artist_id = T2.genre_id GROUP BY T1.name) AS subquery)","SELECT COUNT(*) 
FROM (
    SELECT artist.name, COUNT(genre.genre_id) AS num_genres 
    FROM track 
    JOIN album ON track.album_id = album.album_id 
    JOIN artist ON album.artist_id = artist.artist_id 
    JOIN genre ON track.genre_id = genre.genre_id 
    GROUP BY artist.name 
    ORDER BY num_genres DESC
) AS artists_with_genres 
WHERE num_genres > (SELECT AVG(num_genres) FROM (
    SELECT artist.name, COUNT(genre.genre_id) AS num_genres 
    FROM track 
    JOIN album ON track.album_id = album.album_id 
    JOIN artist ON album.artist_id = artist.artist_id 
    JOIN genre ON track.genre_id = genre.genre_id 
    GROUP BY artist.name
) AS avg_artists);",,,,,,,,,,,,,,,,
What is the total number of 'Rock' tracks that are longer than the average 'Jazz' track?,SELECT COUNT(T1.track_id) FROM track AS T1 JOIN genre AS T2 ON T1.genre_id = T2.genre_id WHERE T2.name = 'Rock' AND T1.milliseconds > ( SELECT AVG(T3.milliseconds) FROM track AS T3 JOIN genre AS T4 ON T3.genre_id = T4.genre_id WHERE T4.name = 'Jazz' ),,"SELECT COUNT(t.track_id)
   FROM track t
   JOIN genre g ON t.genre_id = g.genre_id
   WHERE g.name = 'Rock' AND t.milliseconds > (
      SELECT AVG(t2.milliseconds)
      FROM track t2
      JOIN genre g2 ON t2.genre_id = g2.genre_id
      WHERE g2.name = 'Jazz'
   )","SELECT COUNT(*)
FROM track
WHERE genre_id = (
    SELECT genre_id FROM genre WHERE name = 'Rock'
) AND milliseconds > (
    SELECT AVG(milliseconds)
    FROM track
    WHERE genre_id = (
        SELECT genre_id FROM genre WHERE name = 'Jazz'
    )
);",,,,,,"SELECT COUNT(*) as count
FROM track t1
JOIN genre g1 ON t1.genre_id = g1.genre_id
WHERE g1.name = 'Rock' AND t1.milliseconds > (
    SELECT AVG(t2.milliseconds)
    FROM track t2
    JOIN genre g2 ON t2.genre_id = g2.genre_id
    WHERE g2.name = 'Jazz')","SELECT COUNT(*) FROM track t
JOIN genre g ON t.genre_id = g.genre_id
WHERE g.name = 'Rock' AND t.milliseconds > (
    SELECT AVG(milliseconds) FROM track t2
    JOIN genre g2 ON t2.genre_id = g2.genre_id
    WHERE g2.name = 'Jazz'
)",,"SELECT COUNT(*) AS total_rock_tracks
FROM (
  SELECT track_id, milliseconds
  FROM track
  WHERE genre_id = 2 -- 'Jazz' genre id
) AS jazz_tracks
WHERE milliseconds > (
  SELECT AVG(milliseconds)
  FROM (
    SELECT track_id, milliseconds
    FROM track
    WHERE genre_id = 1 -- 'Rock' genre id
  ) AS rock_tracks
);",,,,,"SELECT COUNT(*) AS num_tracks FROM track
WHERE genre_id = (SELECT genre_id FROM genre WHERE name = 'Rock') AND milliseconds > (SELECT AVG(milliseconds) FROM track WHERE genre_id = (SELECT genre_id FROM genre WHERE name = 'Jazz'))"
What is the number of tracks that have a longer duration than the average duration of tracks in their genre?,SELECT COUNT(*) FROM track AS T1 INNER JOIN genre AS T2 ON T1.genre_id = T2.genre_id WHERE milliseconds > ( SELECT AVG(milliseconds) FROM track AS t3 INNER JOIN genre AS t4 ON t3.genre_id = t4.genre_id WHERE t3.track_id = T1.track_id ),"SELECT COUNT(*) 
FROM track 
WHERE milliseconds > (SELECT AVG(milliseconds) FROM track t JOIN genre g ON t.genre_id = g.genre_id WHERE t.genre_id = track.genre_id)",,SELECT COUNT(*) FROM track WHERE milliseconds > (SELECT AVG(milliseconds) FROM track t2 WHERE t2.genre_id = track.genre_id);,SELECT COUNT(*) AS count FROM track t1 WHERE milliseconds > (SELECT AVG(milliseconds) FROM track t2 WHERE t2.genre_id = t1.genre_id);,,,,,,"SELECT COUNT(*) FROM track t1
JOIN genre g ON t1.genre_id = g.genre_id
WHERE t1.milliseconds > (
    SELECT AVG(milliseconds)
    FROM track t2
    WHERE t2.genre_id = t1.genre_id
);",,,,,,,
How many employees have sold to customers from all countries represented in the customer base?,SELECT COUNT(DISTINCT employee.employee_id) FROM employee WHERE employee.email IN (SELECT email FROM customer);,,,,,,"SELECT SUM(il.quantity * t.unit_price) as total_revenue, a.title
FROM invoice_line il
JOIN track t ON il.track_id = t.track_id
JOIN album a ON a.album_id = t.album_id
WHERE a.artist_id = (SELECT artist_id FROM artist WHERE name = 'Specific Artist')
GROUP BY a.title
ORDER BY total_revenue DESC
LIMIT 5;",,,,"SELECT COUNT(DISTINCT e.employee_id)
FROM employee e
JOIN invoice i ON e.employee_id = i.customer_id
JOIN customer c ON i.customer_id = c.customer_id
GROUP BY e.employee_id;",SELECT COUNT(DISTINCT t1.employee_id) FROM employee AS t1 JOIN customer AS t2 ON t1.employee_id = t2.support_rep_id GROUP BY t2.country;,,,,,,
